hangul,consonant,unicode,hanja,meaning,id
간,ㄱ,79c6,秆,볏짚 간,fd3c4c1563e6460d8b99897aa1eac828
간,ㄱ,831b,茛,미나리아재비 간,8117d444c7cf4619a9d147b0c880dbcb
갈,ㄱ,559d,喝,꾸짖을 갈,ab8dae6c5de94ad1bfc1bf88ea552877
갈,ㄱ,66f7,曷,어찌 갈,6e1e0afc0e8649a2ac2508d9eb796f1d
갈,ㄱ,845b,葛,칡 갈,5544827b9a074f91875c3183531d315d
갈,ㄱ,6e34,渴,목마를 갈,113c988b31df439e808dcb9b086dc21f
갈,ㄱ,7aed,竭,다할 갈,c7f09f4a04a94dceb0282d281dd52b17
갈,ㄱ,97a8,鞨,말갈 갈,b103dfbbcd94449d88ada9e91600154c
갈,ㄱ,78a3,碣,비석 갈,6c11b9d7b6054acd8143f7f9868745b4
갈,ㄱ,874e,蝎,전갈 갈,90e86db8f3fa4f39ab5e5e4dcd1b75f4
갈,ㄱ,4e6b,乫,땅 이름 갈,77b5328fe34244e5ad54ac40a76e39e3
갈,ㄱ,79f8,秸,짚 갈,85425a1872894be8b6d7a2e86fe2f1c0
갈,ㄱ,7faf,羯,불깐 양 갈,30db06cf09dc4924aa844695a9cdaed6
갈,ㄱ,696c,楬,푯말 갈,47835eaa8fdc41258ee14766a5afe5c6
갈,ㄱ,880d,蠍,전갈 갈,6f18a84a1ae147c2854deaff15cf0e3f
갈,ㄱ,fa60,褐,미투리 갈,f44c9977883a4d4b83445f3e1449cc3b
갈,ㄱ,5676,噶,맹세할 갈,f066e67153974186b4297c75e8a6efc0
감,ㄱ,611f,感,느낄 감/한할 감,42e261f73752496aa7dce4fb6bce2962
감,ㄱ,76e3,監,볼 감,d07add75682345b08fffe263a314f3e4
감,ㄱ,6562,敢,감히 감/구태여 감,951ef44c504b47a6b9754a5ca147720a
감,ㄱ,7518,甘,달 감,6f78eaff441b4db68e9d69a6a89edf36
감,ㄱ,9451,鑑,거울 감,9fa242ab6c00442cb408f09f0fdcb45e
감,ㄱ,582a,堪,견딜 감,09c110fed20445e192bcac0dc12e16e8
감,ㄱ,6e1b,減,덜 감,10dfe46eaece4284b74ad6b83220ba56
감,ㄱ,52d8,勘,헤아릴 감,48b1b4c1139b46b7b8f6d7a98b210e7d
감,ㄱ,574e,坎,구덩이 감,fdbd63804cfe4f8bb25c1a11c2bb2d27
감,ㄱ,61be,憾,섭섭할 감,62d040cad8e74089918b551ecff41cc2
감,ㄱ,90af,邯,땅 이름 감,4b16082b89b64fff94ffb13d03e7a516
감,ㄱ,9163,酣,흥겨울 감,f152285f2e904940b1c5bb1ab253a8f4
감,ㄱ,9f95,龕,감실 감,1fcd96342e234626ab3917291bb63f13
감,ㄱ,75b3,疳,감질 감,8f0cddb0cbb94ed897e2c240ea7eb858
감,ㄱ,7d3a,紺,감색 감,f05dada5b20546678e77e89e58b68847
감,ㄱ,67d1,柑,귤 감,b1fa787d654241d696dbd018b72d446c
감,ㄱ,77b0,瞰,굽어볼 감,b5690ad2081b42b78c0e8017506ce95d
감,ㄱ,9452,鑒,거울 감,1af0b3a1b68e481fb949df1ea236fd2d
감,ㄱ,5d4c,嵌,산골짜기 감,5fb1a5aa70014ea4a9063df0c776e852
감,ㄱ,6b5b,歛,줄 감,859a8c8e09404fcbb41bc97b260c909f
감,ㄱ,6221,戡,이길 감,f2b7c791b2044b559edc60cc4eff5787
감,ㄱ,73aa,玪,옥 이름 감,079684db1a0742cd9976b60f4cd4fe26
감,ㄱ,5f07,弇,사람 이름 감,f3583814b673475a93f91c45b52f48dd
감,ㄱ,61a8,憨,어리석을 감/해할 감,b68ac31caa5344098ac5cda23588859a
감,ㄱ,57f3,埳,구덩이 감,adf471004e76419cb6b4097beb3e5ef7
감,ㄱ,77d9,矙,엿볼 감,36139957d2f448a7bae89fab1dbb9007
감,ㄱ,6b3f,欿,서운할 감,ebad4db8a79a4f21aac8817fa711a5e6
감,ㄱ,6a44,橄,감람나무 감,4fd803439bc04bb287cae865d432414f
감,ㄱ,64bc,撼,흔들 감,cb1466f9aaf74697bda977a71ac374f3
감,ㄱ,6f89,澉,싱거울 감/씻을 감,c2ce580ff27748d9bdadd785758cd6b9
감,ㄱ,5d41,嵁,울퉁불퉁할 감,65e3f91944d842d482c02fb1091ce6fd
감,ㄱ,9e7b,鹻,소금기 감,e18895a6a87e467b88f131ada7cbea56
감,ㄱ,6de6,淦,물 스며들 감,a5c9a65fc30f41e393f1685b5b78f455
감,ㄱ,8f57,轗,가기 힘들 감,b8ecabd52339477db5f8be76c36530d1
감,ㄱ,6cd4,泔,뜨물 감,a065769d1de443ff973cd193d84c30be
감,ㄱ,5769,坩,도가니 감,044a4c018bfc43eeb2ca13328084f487
갑,ㄱ,7532,甲,갑옷 갑/친압할 갑,edb54a9834c748c4a0a9047dd9f4dedf
갑,ㄱ,5323,匣,갑 갑,e9855a22e88c4060825ecf155edf8294
갑,ㄱ,5cac,岬,곶 갑,5d986f6fea104298a05fab540864b6e7
갑,ㄱ,9240,鉀,갑옷 갑,61b50ab9ed5b444fbdff5390c57fb5f3
갑,ㄱ,9598,閘,수문 갑,c35d35ba024b4a919030587300286135
갑,ㄱ,80db,胛,어깨뼈 갑,30a4cb257a764a55a4f1063eaeb0e7b4
강,ㄱ,59dc,姜,성씨 강/생강 강,58f15ec9ba934539ba880a5f980f310b
강,ㄱ,5eb7,康,편안 강/들 강,faf85d1305484ea596d0a285d8a1578b
강,ㄱ,6c5f,江,강 강,0fd1e74401a14c9aa63d8411dcf99085
강,ㄱ,5f37,強,강할 강,7cee3d53b60b43f19660e04652a6b53a
강,ㄱ,8b1b,講,외울 강,8b458051daa44af98cc6ca2730e77dc2
강,ㄱ,964d,降,내릴 강,0e44e037e5c14b649a479949df106327
강,ㄱ,7db1,綱,벼리 강,204326ccf7c94ee2a039f01ba4f1f9fc
강,ㄱ,525b,剛,굳셀 강,2cf5b2654863493b8aff08c8b6fb9114
강,ㄱ,5f3a,强,강할 강,b87efa26e7cb447e9b0cadc9bdecb972
강,ㄱ,7586,疆,지경 강,67e0dff6a04543e188c881ec5211691f
강,ㄱ,8591,薑,생강 강,7a39559127304edb81e0bcef5b4b9e65
강,ㄱ,5f4a,彊,굳셀 강,ec543a0e5ff14ce4b183d5b6255083b6
강,ㄱ,5ca1,岡,산등성이 강,be034341b9c842ababffdb5a5ad7b2c9
강,ㄱ,5d17,崗,언덕 강,1ab0967089c04f28b4e071356b18257d
강,ㄱ,8154,腔,속 빌 강,0ca6d2ffbbd44308acea8630ecc17f80
강,ㄱ,6177,慷,강개할 강,282b0338ef15495f9c1b616a14b9dfed
강,ㄱ,92fc,鋼,강철 강,bc515baf3244487384e53ae0f5151f15
강,ㄱ,757a,畺,지경 강,37052e587f05466e8acba4ea8a26f01c
강,ㄱ,5add,嫝,편안할 강,3355774e3cf945278c92479f835b9db7
강,ㄱ,7ce0,糠,겨 강,07a4d56f2f8a49ea849ad67fa7467ed0
강,ㄱ,7f8c,羌,오랑캐 강,7b8e9376092c4d7788e174920375d56a
강,ㄱ,50f5,僵,넘어질 강,a6fb742353c1473c9b8caeeccea31ec0
강,ㄱ,7f61,罡,북두칠성 강/언덕 강,b6cabc621e2f4ba291917a467d8533f7
강,ㄱ,6760,杠,막대기 강,d69c7d6b06624d7ba417f5f9f989d6ef
강,ㄱ,7d73,絳,진홍 강,a316e74c42ef466bab81ff2abbe986df
강,ㄱ,5ffc,忼,강개할 강,33a47438c2b044ba8d3239e90b5b9d52
강,ㄱ,625b,扛,마주 들 강,7a616ab51faf46ec88ed307f35923bcb
강,ㄱ,5808,堈,언덕 강/항아리 강,a7674e1ca4854ab0bdd24aaa0207c761
강,ㄱ,6a7f,橿,감탕나무 강,f1c17eee0c8a43c987847a51879566dd
강,ㄱ,58c3,壃,지경 강,37069ff8b1c34b5eb8cf3ec1dba7cac4
강,ㄱ,9c47,鱇,아귀 강,aee8a6d2a6c14fa4b083f0c182de3f98
강,ㄱ,8221,舡,배 강,5ccaa1d2caa64d5196ae909854a5de1a
강,ㄱ,985c,顜,밝을 강,55000bd25a6344bb8b78cf1f7c751379
강,ㄱ,6bad,殭,굳어질 강,e085b6bea4ec42fda05d87308e858b83
강,ㄱ,60be,悾,정성 강,5cae37535c99407fa68a0d8623fdd750
강,ㄱ,93a0,鎠,강철 강,628506f9912c4a82a79d9dc81e33ce04
강,ㄱ,8941,襁,포대기 강,32eddff152b04528bcc92aadb9885223
강,ㄱ,97c1,韁,고삐 강,84f0503f2bdf40debe5234af5b7349a5
강,ㄱ,fab6,襁,포대기 강,edac87e934504f9d851bfb7a6893dbc2
강,ㄱ,8ded,跭,세울 강,7be53164da3848e9b1913703d817f846
강,ㄱ,2f9eb,鏹,돈 강,36515dd63da24c12943f7f9abada8988
강,ㄱ,508b,傋,어리석을 강,791847769f9449e2ac524c9e1f96d5fc
강,ㄱ,7392,玒,옥 이름 강,0ba7fe496601447da05c49d6acaa2795
강,ㄱ,77fc,矼,징검다리 강,2d109b84669a4d9f949eead0021c0202
강,ㄱ,93f9,鏹,돈 강,4e958ee608dd4f78b0b24e54cdf65fa7
강,ㄱ,7fab,羫,양 갈빗대 강,97c8aef976fe4b89b3d7edb68d44295a
강,ㄱ,7a45,穅,겨 강,566398779f304fd2b778a546b35ed221
강,ㄱ,7e48,繈,포대기 강,a7de6e556731408ba3c13c858af2b4e1
강,ㄱ,8c47,豇,광저기 강,ebddaab5d4104523b74e34a407f82d7e
강,ㄱ,8333,茳,천궁 모종 강,0ebcb9cb87104b708cc41615469fbfe8
개,ㄱ,84cb,蓋,덮을 개,53e4119a83e44a4186fde0aea9e99020
개,ㄱ,958b,開,열 개,0cf06e8b5acd4424aa9b909718ac9128
개,ㄱ,7686,皆,다 개,fa81008a624f414fa65626b8c50404f7
개,ㄱ,69ea,槪,대개 개,d40f7b5b435e4b6195204e419cf43d9a
개,ㄱ,4ecb,介,낄 개/낱 개,1dc647de6133450a87678c995622d94e
개,ㄱ,6539,改,고칠 개,9bbcd22f079d47ffa054385ca5018b6e
개,ㄱ,500b,個,낱 개,1c482b953dd746a1a61c119675e810df
개,ㄱ,8c48,豈,개가 개,5e1b44c537a646c790557549f84cb0a9
개,ㄱ,76d6,盖,덮을 개,49a56046e9a2424493b1bae457b93682
개,ㄱ,51f1,凱,개선할 개,64027aba06cb491c98e3065c88c18785
개,ㄱ,7b87,箇,낱 개,d5883673080e45f7b158d69c63a5bd83
개,ㄱ,4ef7,价,착할 개,a8fc66148a4d41c6bc014ad423fbd3f1
개,ㄱ,82a5,芥,겨자 개,389d364fc29346af821823c9e3fb312b
개,ㄱ,5303,匃,빌 개,8efcbcba9c8d45c4aba322cc69f57f41
개,ㄱ,6f11,漑,물 댈 개,4110ca0c204a4a5d90bc29f49ad405b1
개,ㄱ,6137,愷,편안할 개,faa1ca667e5347949ccf82ed59449ace
개,ㄱ,613e,愾,성낼 개,ebf1305f6f9d4cdaa89113fc0bf28afe
